Player Name,Position,Height (inches),Weight (pounds),Draft Round,Draft Pick,College PPG,College RPG,College APG,College Shooting %,College 3PT %,College FT %,Rookie Year PPG,Rookie Year RPG,Rookie Year APG,Rookie FG%,Rookie 3PT%,Rookie FT%,Success
Kevin Thompson,Center,83,260,2,48,10.6,6.9,1.4,58.8,14.3,56.3,0.93,0.93,0.21,42.9,0,50,0
Kevin Willis,Center-Forward,84,245,1,11,10.1,7.1,0.2,53,0,57.9,9.33,6.37,0.44,46.7,22.2,65.7,0
Kevinn Pinkney,Forward,82,245,Undrafted,Undrafted,8.3,5.7,0.8,51.5,18.5,70.8,5.17,2.5,0.83,44.4,50,66.7,0
Kevon Harris,Guard,77,216,Undrafted,Undrafted,14.4,5.3,1.6,48.3,39.7,72.7,4.15,2.06,0.47,43.9,37.2,75.6,0
Kevon Looney,Forward,81,222,1,30,11.6,9.2,1.4,47,41.5,62.6,1.8,2,0,57.1,50,0,0
Keyon Dooling,Guard,75,195,1,10,12.1,2.4,3.4,41.1,33.8,73.3,5.91,1.17,2.33,40.9,35,69.8,0
Keyontae Johnson,Forward,76,230,2,50,13.1,6.6,1.6,51.9,38.9,71.8,1.22,1.11,0.44,31.3,33.3,0,0
Keyonte George,Guard,76,185,1,16,15.3,4.2,2.8,37.6,33.8,79.3,12.99,2.81,4.43,39.1,33.4,84.8,0
Khalid El-Amin,Guard,70,200,2,34,15.3,3,4.4,41.6,35.5,82.2,6.28,1.62,2.9,37,33.3,77.8,0
Khalid Reeves,Guard,75,199,1,12,15,3.3,3.1,47.9,38,76.3,9.24,2.78,4.3,44.3,39.2,71.4,0
Khris Middleton,Forward,79,222,2,39,11.3,4.6,2,43.1,32.1,76.8,6.11,1.85,1.04,44,31.1,84.4,0
Khyri Thomas,Guard,75,210,2,38,11.2,4.6,2.5,51.1,40.6,71.9,2.35,0.77,0.31,31.9,28.6,63.6,0
Killian Tillie,Forward-Center,81,220,Undrafted,Undrafted,9.5,4.6,1.4,54.8,44.4,75,3.17,1.33,0.44,33.3,30.3,81.8,0
Kim English,Guard,78,200,2,44,11.1,3,1.4,42,39.4,72.7,2.9,0.9,0.63,37.5,28,72.4,0
Kirk Haston,Forward,81,242,1,16,14.6,7.8,1.2,47.3,36.6,71.7,1.73,1.33,0.33,28.2,0,50,0
