Player Name,Position,Height (inches),Weight (pounds),Draft Round,Draft Pick,College PPG,College RPG,College APG,College Shooting %,College 3PT %,College FT %,Rookie Year PPG,Rookie Year RPG,Rookie Year APG,Rookie FG%,Rookie 3PT%,Rookie FT%,Success
Isaiah Whitehead,Guard,76,213,2,42,15.8,3.7,4.5,37.5,35.9,75.7,7.44,2.52,2.63,40.2,29.5,80.5,0
Isaiah Wong,Guard,75,185,2,55,14.1,4.1,2.2,44,34.7,80.7,2,0,0,33.3,0,0,0
Ish Wainright,Forward,77,250,Undrafted,Undrafted,3.8,3.2,2,41.8,33.1,65.9,2.4,1.2,0.33,39.4,32.2,58.3,0
Ivan Johnson,Forward,80,255,Undrafted,Undrafted,7.5,3.2,0.4,50,0,63.4,6.36,4.04,0.57,51.3,33.3,72,0
Ivan McFarlin,Forward,79,229,Undrafted,Undrafted,11.6,7.4,1.2,58.4,40,66.8,1.36,1,0.09,38.5,0,71.4,0
Ivan Rabb,Forward,82,220,2,35,13.2,9.4,1.2,54.4,40.9,66.6,5.58,4.39,0.89,56.6,0,80.6,0
Ivano Newbill,Center,82,245,,,3.9,5.3,1,50.7,0,46.6,1.18,2.38,0.5,35.6,0,36.4,0
JD Davison,Guard,73,195,2,53,8.5,4.8,4.3,46.3,30.1,72.8,1.58,0.75,0.92,42.1,28.6,50,0
JJ Hickson,Center-Forward,81,242,1,19,14.8,8.5,1,59.1,0,67.7,3.95,2.66,0.15,51.5,0,67.2,0
JJ Redick,Guard,75,200,1,11,19.9,2.7,2.2,43.3,40.6,91.2,6,1.24,0.86,41,38.8,90,0
JT Thor,Forward,81,203,2,37,9.4,5,0.9,44,29.7,74.1,2.03,1.3,0.58,43.6,25.9,60,0
JaJuan Johnson,Forward,82,221,1,27,13.7,6.1,0.7,50.1,25,74.3,3.17,1.61,0.17,44.6,0,66.7,0
JaKarr Sampson,Forward,79,214,Undrafted,Undrafted,13.9,6.4,1.1,46.9,7.7,60.7,5.22,2.2,1.04,42.2,24.4,67,0
JaMychal Green,Forward-Center,81,227,Undrafted,Undrafted,13.5,7.4,1.2,51.9,17.6,71.1,2,1.5,0,57.1,0,0,0
JaQuori McLaughlin,Guard,76,190,Undrafted,Undrafted,11.9,2.9,3.9,41.5,37,79.4,0,0,0.5,0,0,0,0
JaVale McGee,Center-Forward,84,270,1,18,8.7,4.8,0.3,54.2,35.6,51.4,6.52,3.92,0.31,49.4,0,66,0
Jabari Bird,Guard,78,198,2,56,10.8,3.3,1.2,44.2,37.1,75.3,3,1.46,0.62,57.7,42.9,46.2,0
Jabari Brown,Guard,77,214,,,17,3.9,1.7,44.1,38.6,78.2,11.95,1.89,2.11,41.2,37.1,75.3,0
Jabari Parker,Forward,79,245,1,2,19.1,8.7,1.2,47.3,35.8,74.8,12.32,5.52,1.68,49,25,69.7,0
Jabari Smith,Center,83,250,2,45,12.6,8.2,2.1,53.2,29.8,63.9,2.89,0.89,0.67,50,0,66.7,0
Jabari Walker,Forward,79,227,2,57,11.5,7.2,0.9,47.9,39.9,78.3,3.86,2.34,0.61,41.9,28.6,75.6,0
Jack Cooley,Center-Forward,82,274,Undrafted,Undrafted,8.3,6.4,0.5,60.1,50,66.3,1.69,1.56,0.06,40.9,0,42.9,0
Jack White,Forward,78,225,Undrafted,Undrafted,2.7,3,0.6,38.4,28.8,80.7,1.24,1,0.24,42.1,33.3,66.7,0
Jackie Butler,Center,82,260,Undrafted,Undrafted,1.5,1.5,2.5,14.3,20,0,3.33,0,0,100,0,100,0
Jackson Vroman,Forward-Center,82,220,2,31,13.2,9.5,2.1,55.8,7.7,51.2,1.6,1.3,0.7,37.5,0,57.1,0
Jacob Evans,Guard-Forward,76,210,1,28,11.7,4.3,2.5,42.9,37.7,75.5,1.33,0.83,0.77,34,26.7,0,0
Jacob Gilyard,Guard,68,160,Undrafted,Undrafted,13.2,2.9,5.1,43.9,36.2,82,3,4,7,33.3,33.3,0,0
Jacob Pullen,Guard,73,200,Undrafted,Undrafted,15.8,2.4,3.4,40.8,36.1,77,0.67,0,0,50,0,0,0
Jacob Toppin,Forward,80,200,Undrafted,Undrafted,7.4,4.5,1.2,47.1,28.9,69.5,1.44,0.78,0.33,55.6,25,100,0
Jacob Wiley,Forward,80,223,Undrafted,Undrafted,13.2,5.9,1.5,63.8,62.5,82.7,0.8,2.2,0.4,25,50,50,0
Jacque Vaughn,Guard,73,190,1,27,9.6,3,6.4,45.9,38.3,70.8,3.09,0.84,1.87,36.1,37.5,70.6,0
Jaden Ivey,Guard,76,195,1,5,14.9,4.3,2.6,44,32.2,73.9,16.27,3.89,5.23,41.6,34.3,74.7,1
Jaden McDaniels,Forward,81,185,1,28,13,5.8,2.1,40.5,33.9,76.3,6.78,3.68,1.13,44.7,36.4,60,0
Jaden Springer,Guard,76,202,1,28,12.5,3.5,2.9,46.7,43.5,81,1,1,0,100,0,0,0
Jae Crowder,Forward,78,235,2,34,14.6,7.6,1.8,49.2,35,68.3,5.03,2.4,1.21,38.4,32.8,64.4,0
Jaime Echenique,Center,82,258,Undrafted,Undrafted,10.1,6.4,0.4,51.6,30.8,71.9,0,0,0,0,0,0,0
Jake LaRavia,Forward,79,235,1,19,12.2,6.3,2.6,52.4,37.1,74.3,3,1.8,0.6,38.9,33.8,77.8,0
Jake Layman,Forward,80,209,2,47,10.2,4.8,1.1,44.5,36.2,75.9,2.23,0.69,0.31,29.2,25.5,76.5,0
Jakob Poeltl,Center,84,260,1,9,13.3,8,1.3,65.8,0,60.5,3.06,3.06,0.22,58.3,0,54.4,0
Jalen Brunson,Guard,74,190,2,33,14.4,2.5,3.7,51,39.3,82,9.29,2.32,3.15,46.7,34.8,72.5,0
Jalen Duren,Center,82,250,1,13,12,8.1,1.3,59.7,0,62.5,9.13,8.88,1.12,64.8,0,61.1,0
Jalen Harris,Guard,77,195,2,59,1.7,0.5,1.2,25,36.4,60,7.38,1.38,1.31,50,47.2,77.8,0
Jalen Hood-Schifino,Guard,77,215,1,17,13.5,4.1,3.7,41.7,33.3,77.6,1.62,0.62,0.38,22.2,13.3,60,0
Jalen Johnson,Forward,80,219,1,20,5.6,2.4,0.8,41.4,37.1,85.6,2.36,1.18,0.14,53.7,23.1,71.4,0
Jalen Jones,Forward,79,220,,,12.8,6.2,0.8,45.5,31.3,69.2,1.25,0.75,0,25,100,100,0
Jalen McDaniels,Forward,81,190,2,52,13.2,7.9,1.5,50.4,29.8,75.8,5.56,4.06,0.81,47.1,37.5,82.4,0
Jalen Pickett,Guard,74,202,2,32,15.3,5.4,5.8,45.4,35.5,74.2,1.56,0.52,0.78,42.9,36,75,0
Jalen Rose,Guard-Forward,80,215,1,13,17.5,4.7,3.9,46.4,33.6,73.8,8.19,2.68,4.8,45.4,31.6,73.9,0
Jalen Slawson,Forward,79,215,2,54,9.9,5.5,2.4,51.9,32.9,75.4,0.67,0.58,0.17,66.7,0,0,0
Jalen Smith,Forward-Center,81,215,1,10,13.5,8.6,0.8,51.6,32.3,70.9,1.96,1.37,0.15,44,23.5,71.4,0
Jalen Suggs,Guard,77,205,1,5,14.4,5.3,4.5,50.3,33.7,75.4,11.75,3.56,4.35,36.1,21.4,77.3,0
Jalen Wilson,Forward,78,220,2,51,14.2,7.7,2,43.4,31.6,73.2,4.98,3.05,1.05,42.5,32.4,82.6,0
Jamaal Franklin,Guard,77,191,2,41,13.7,7,1.9,42.6,30.2,78,1.86,1.1,0.29,41,45.5,100,0
Jamaal Tinsley,Guard,75,188,1,27,12.5,4.5,6.3,38.8,32.7,68.5,9.39,3.72,8.09,38,24,70.4,0
Jamal Cain,Forward,78,191,Undrafted,Undrafted,8.1,5.2,0.6,47.8,35.1,75.6,5.44,2.89,0.67,56.1,35,77.3,0
Jamal Crawford,Guard,77,200,1,8,16.6,2.8,4.5,41.2,32.7,78.4,4.62,1.46,2.31,35.2,35,79.4,0
Jamal Mashburn,Forward,80,247,1,4,18.8,7.8,2.2,51.6,37.6,69.7,19.15,4.47,3.37,40.6,28.4,69.9,0
Jamal Murray,Guard,76,215,1,7,20,5.2,2.2,45.4,40.8,78.3,9.89,2.61,2.07,40.4,33.4,88.3,0
Jamaree Bouyea,Guard,74,180,Undrafted,Undrafted,10.7,3.6,2.6,47.2,33.7,71.2,3.75,1.25,1,46.2,40,50,0
Jameer Nelson,Guard,72,190,1,20,16.8,4.6,5.7,45.4,36.5,78.6,8.72,2.44,3,45.5,31.2,68.2,0
Jamel Artis,Guard,79,213,Undrafted,Undrafted,12.6,4.6,2.3,47,37.8,75.9,5.13,2.53,1.2,39.2,27.6,58.3,0
Jamel Thomas,Forward,78,219,Undrafted,Undrafted,15.9,5.9,2,41.3,34.2,73.6,3.67,0.67,0.67,50,0,100,0
James Augustine,Forward,82,235,2,41,10.1,7.5,1.1,61.7,33.3,68.7,1,1.5,1,33.3,0,0,0
James Blackwell,Guard,72,190,Undrafted,Undrafted,12.2,2.7,3.7,43.7,33.3,76.5,1,0.75,1.25,66.7,0,0,0
James Bouknight,Guard,76,190,1,11,15,4.7,1.5,45.6,32,80.2,4.58,1.68,0.84,34.8,34.7,87.1,0
James Collins,Guard,76,196,2,36,16,4.5,2.5,45,37.2,67.9,2.57,0.61,0.13,38.2,45,57.1,0
James Cotton,Guard,77,220,2,32,2.9,2.7,0.4,44.1,0,63.4,2.67,0.67,0,38.1,0,88.9,0
James Harden,Guard,77,220,1,3,19,5.4,3.7,50.6,37.6,75.5,9.91,3.21,1.8,40.3,37.5,80.8,0
James Johnson,Forward,79,240,1,16,13.6,3.5,3.8,38.5,37,79.2,3.94,1.97,0.74,45.2,32.6,72.9,0
James Jones,Guard-Forward,80,218,2,49,11.1,5,1.2,42.6,38.3,83.1,1.17,0.33,0,22.2,25,100,0
James Michael McAdoo,Forward,81,230,Undrafted,Undrafted,11.4,5.9,1,44.7,0,56.9,4.13,2.47,0.13,54.5,0,56,0
James Nunnally,Forward,79,205,Undrafted,Undrafted,13.7,5.1,2,46.5,38.6,78.4,4.5,2,0.5,33.3,30,75,0
James Posey,Forward,80,217,1,18,15.3,8.4,1.7,52.7,32.9,80.8,8.17,3.91,1.8,42.9,37.3,80,0
James Scott,Forward,78,180,Undrafted,Undrafted,12.6,4,1.8,43.2,25.9,74,0.12,0.75,0.38,0,0,50,0
James Singleton,Forward,80,230,Undrafted,Undrafted,13.5,10.5,1.5,56.7,42.9,79.4,3.44,3.34,0.49,51,50,78,0
James Southerland,Forward,80,215,Undrafted,Undrafted,7.9,3.3,0.6,44.9,37,74,0,0,0,0,0,0,0
James White,Guard-Forward,79,215,2,31,10.3,4.2,2.6,44.4,33.6,78.4,8.33,3.33,0.83,43.9,28.6,80,0
James Wiseman,Center,83,240,1,2,19.7,10.7,0.3,76.9,0,70.4,11.49,5.79,0.67,51.9,31.6,62.8,0
James Young,Guard-Forward,78,215,1,17,14.3,4.3,1.7,40.7,34.9,70.6,3.39,1.35,0.42,35.3,25.8,55.2,0
JamesOn Curry,Guard,75,190,2,51,13.5,2.9,3.5,43.7,40.4,75.8,0,0,0,0,0,0,0
Jamie Feick,Forward,80,255,2,48,6.6,6.7,1.2,50.2,29.4,57.7,1.67,1,0,50,100,0,0
Jamie Watson,Forward,79,190,2,47,11.3,4.7,2.6,45,24.8,63,3.25,1.23,0.98,50,26.3,67.9,0
Jamil Wilson,Forward,79,229,Undrafted,Undrafted,8.5,4.6,1.6,43.7,33.6,70.8,7,2.13,0.67,46.9,42.9,50,0
Jamison Brewer,Guard,76,195,2,40,5.7,4.7,4.1,45.6,22,52.7,0.31,0.62,0.69,40,0,0,0
Jamorko Pickett,Forward,81,206,Undrafted,Undrafted,9.4,5.2,1.5,37.8,36.5,75.7,3.85,2.46,0.54,36,33.3,50,0
Jannero Pargo,Guard,73,185,Undrafted,Undrafted,14.4,2.2,2.8,45.5,42.5,82,2.5,1.09,1.15,39.8,29.2,100,0
Jarace Walker,Forward,79,235,1,8,11.2,6.8,1.8,46.5,34.7,66.3,3.64,1.91,1.21,40.9,40,88.9,0
Jared Butler,Guard,75,193,2,40,14.1,3.2,3.5,43.1,38.4,78.2,3.83,1.07,1.5,40.4,31.8,68.8,0
Jared Cunningham,Guard,76,195,1,24,5.2,2.6,0.4,37.7,32.9,75,2,0.38,0.12,42.9,66.7,100,0
Jared Dudley,Forward,78,237,1,22,15.9,7.2,3,50.4,36.5,73.1,5.78,3.92,1.11,46.8,22,73.7,0
Jared Harper,Guard,70,175,Undrafted,Undrafted,0.2,0.2,0.1,50,50,50,0.67,0,0,25,0,0,0
Jared Jeffries,Forward,83,240,1,11,14.4,7.2,2.2,45,32.5,64.3,3.95,2.9,0.8,47.6,50,55.2,0
Jared Rhoden,Guard,77,210,Undrafted,Undrafted,10.4,5.5,1.1,40.7,31.2,75.4,3.21,2.64,0.29,38.6,25,100,0
Jared Sullinger,Center-Forward,81,260,1,21,17.3,9.7,1.2,53,36.5,73.3,6,5.87,0.78,49.3,20,74.6,0
Jared Terrell,Guard,75,227,Undrafted,Undrafted,13.1,3,2.1,40.6,36.5,76.3,2.21,0.43,0.86,30.8,23.5,50,0
Jarell Eddie,Guard-Forward,79,218,Undrafted,Undrafted,9.6,4.6,1.1,38.5,36.5,81.2,2.42,0.88,0.19,30.8,31.9,100,0
Jarell Martin,Forward,82,239,1,25,13.7,6.9,1.4,49.4,30.8,68.9,5.67,3.19,0.56,46.6,0,72.6,0
Jaren Jackson,Guard,78,225,Undrafted,Undrafted,7.5,2.9,1.2,44.4,36.5,70.9,2.39,0.86,0.46,36.2,0,81,0
Jarnell Stokes,Forward-Center,81,255,2,35,13,9.6,1.5,53,0,62.8,3,1.79,0.21,56.8,0,53.6,0
Jaron Blossomgame,Forward,80,220,2,59,13.5,6.5,1.1,48.8,31.6,72.4,4.22,3.63,0.48,44.3,25.6,76.9,0
Jarred Vanderbilt,Forward,80,214,2,41,5.9,7.9,1,42.6,0,63.2,1.41,1.35,0.18,47.4,0,60,0
Jarrell Brantley,Forward,77,250,2,50,15.6,7.9,1.7,48.7,35.3,76.8,2.67,2.22,1.22,35.7,23.1,50,0
Jarrett Allen,Center,81,243,1,22,13.4,8.4,0.8,56.6,0,56.4,8.15,5.39,0.68,58.9,33.3,77.6,0
Jarrett Culver,Guard-Forward,78,195,1,6,14.9,5.6,2.8,45.9,34.1,68.7,9.21,3.37,1.75,40.4,29.9,46.2,0
Jarrett Jack,Guard,75,200,1,22,12.5,4.5,5.4,47.8,35.9,79.6,6.66,2.03,2.77,44.2,26.3,80,0
Jarrod Uthoff,Forward,81,220,Undrafted,Undrafted,13,5.8,1.2,45,38.3,79.5,4.44,2.44,1,42.1,33.3,71.4,0
Jarron Collins,Center,83,249,2,52,8.4,5.5,1.1,52,25,66.9,6.43,4.23,0.83,46.1,0,74,0
Jarron Cumberland,Guard,77,205,Undrafted,Undrafted,13.4,3.6,3.1,41.4,35.2,73,0.67,1,0.33,50,0,0,0
Jarvis Hayes,Forward,80,228,1,10,18,5,1.5,45.7,36.9,77.2,9.61,3.77,1.51,40,30.5,78.6,0
Jarvis Varnado,Forward-Center,81,230,2,41,10,7.8,0.6,58.9,25,59.5,1.2,0.6,0.2,50,0,50,0
Jason Caffey,Forward,80,256,1,20,10.4,6.3,1,50.9,22.2,57.8,3.19,1.95,0.42,43.8,0,58.8,0
Jason Collier,Center,84,260,1,15,13.9,7.1,1.2,45.8,36.9,71.1,3.09,1.61,0.26,38,0,70.8,0
Jason Collins,Center,84,255,1,18,10.8,6.6,0.8,61.2,44.4,71.6,4.55,3.91,1.05,42.1,50,70.1,0
Jason Hart,Guard,75,180,2,49,11.4,3.3,5.4,39.3,32.6,71.2,2,0,1,100,0,0,0
Jason Kapono,Forward,80,215,2,31,16.5,5.1,2.1,46.9,44.6,83,3.54,1.34,0.34,40.3,47.7,83.3,0
Jason Kidd,Guard,76,210,1,2,14.9,5.9,8.4,46.8,33.3,67.7,11.67,5.44,7.68,38.5,27.2,69.8,0
Jason Lawson,Center,83,240,2,41,11.9,6.9,1.4,58.6,0,69.2,1.53,1.59,0.29,60,0,80,0
Jason Maxiell,Forward,79,260,1,26,12.1,7,0.7,50.7,28.6,65.3,2.31,1.08,0.12,42.6,0,33.3,0
Jason Miskiri,Guard,74,185,Undrafted,Undrafted,15.8,4.4,4.1,39.4,29.9,64.8,0,0,1,0,0,0,0
Jason Preston,Guard,75,181,2,33,12.6,5.6,5.9,49.8,35.7,70.3,2.93,1.57,1.93,43.9,27.8,0,0
Jason Richardson,Guard,78,225,1,5,9.6,5,1.4,50.3,38.3,64.9,14.39,4.25,2.95,42.6,33.3,67.1,0
Jason Sasser,Forward,79,225,2,41,17.7,7.5,2.6,47.4,28.5,72.7,2.83,1.17,0.17,42.1,50,0,0
Jason Smith,Forward-Center,84,240,1,20,14.7,7.9,2,54.8,30.8,75.1,4.47,3.03,0.26,45.5,28.6,65.9,0
Jason Terry,Guard,74,185,1,10,11.3,2.3,3.8,44.3,37.4,78.4,8.11,2.05,4.27,41.5,29.3,80.7,0
Jason Thompson,Forward-Center,83,250,1,12,16.7,9.6,2,52.6,29.1,66.7,11.1,7.39,1.13,49.7,0,69.2,0
Jason Williams,Guard,73,180,1,7,14.9,3.3,6.5,48.3,39.4,79.3,12.82,3.06,5.98,37.4,31,75.2,0
Javaris Crittenton,Guard,77,200,1,19,14.4,3.7,5.8,45,35.6,78.3,3.27,0.95,0.82,49.1,33.3,67.9,0
Javin DeLaurier,Center,82,234,Undrafted,Undrafted,3.4,3.8,0.4,65.8,12.5,58,0,1,0,0,0,0,0
Javonte Green,Guard,77,205,Undrafted,Undrafted,14.4,8,1.1,51.9,23.8,65.6,3.4,1.94,0.54,50,27.3,66.7,0
Javonte Smart,Guard,76,205,Undrafted,Undrafted,13,3.5,3.5,41.4,35.1,83.6,2.38,1.46,1.08,25.6,22.2,83.3,0
Jawad Williams,Forward,81,225,Undrafted,Undrafted,12.7,4.8,1.5,48.7,34.9,72.4,1.2,0.2,0,41.7,33.3,0,0
Jawun Evans,Guard,72,190,2,39,16.6,3.8,5.8,44.8,40.7,81.8,4.81,1.75,2.08,35.2,27.8,77.6,0
Jay Edwards,Forward,76,185,2,33,18.2,3.5,3.5,46.5,48.1,84.7,1.75,0.5,1,42.9,0,33.3,0
Jay Huff,Center,85,240,Undrafted,Undrafted,7.6,4.5,0.6,58.8,38.6,67.9,0,1,0.25,0,0,0,0
Jay Taylor,Forward,75,190,Undrafted,Undrafted,16.7,4.3,2.5,51.3,37.5,74.3,3,0.65,0.29,40.4,23.1,66.7,0
Jay Williams,Guard,74,195,1,2,19.3,3.7,6,45.3,39.3,67.1,9.52,2.6,4.67,39.9,32.2,64,0
Jaylen Adams,Guard,72,225,Undrafted,Undrafted,17.4,3.4,5.4,42.7,39.4,83.8,3.18,1.76,1.91,34.5,33.8,77.8,0
Jaylen Brown,Guard-Forward,78,223,1,3,14.6,5.4,2,43.1,29.4,65.4,6.6,2.82,0.82,45.5,34.3,68.5,0
Jaylen Hoard,Forward,80,216,Undrafted,Undrafted,13.1,7.6,1.5,45.8,22.6,71.7,2.92,2.46,0.31,46.9,0,61.5,0
Jaylen Nowell,Guard,76,201,2,43,16.1,4.6,2.9,47.6,39.6,78.9,3.8,0.87,1.27,35.8,11.5,94.1,0
Jaylin Williams,Forward,81,240,2,34,9.3,3.9,1.6,51.1,34.6,77.6,5.88,4.92,1.55,43.6,40.7,70.4,0
Jaysean Paige,Guard,74,200,Undrafted,Undrafted,9.7,2.7,0.9,43.9,34.8,72.3,0,1,1,0,0,0,0
Jayson Tatum,Forward-Guard,80,210,1,3,16.8,7.3,2.1,45.2,34.2,84.9,13.9,5.03,1.6,47.5,43.4,82.6,0
Jayson Williams,Forward,81,240,1,21,14.9,6.8,0.5,55,25,65.2,3.5,2.13,0.31,44.7,50,66.1,0
Jeff Foster,Forward-Center,83,250,1,21,9.8,8.4,1.2,50.8,100,63.9,2.26,1.68,0.26,56.5,0,68,0
Jeff Grayer,Guard,77,210,1,13,20,7.3,2,52.6,32.9,68.6,7.36,3.18,2,43.8,0,85,0
Jeff Green,Forward,80,235,1,5,13.1,6.5,3.1,48.8,35.9,70,10.48,4.74,1.49,42.7,27.6,74.4,0
Jeff Lebo,Forward,74,180,Undrafted,Undrafted,11.8,2.5,4.4,47.9,42.8,83.9,1.5,1,0.75,28.6,0,100,0
Jeff Martin,Guard,77,195,2,31,21.2,5.7,1.8,52.2,44.9,76.6,6.28,2.3,0.64,41.1,13.3,70.5,0
Jeff McInnis,Guard,76,190,2,37,11.3,2.8,4.4,45.9,39.7,71.9,5,0.46,1.38,46.9,46.2,70,0
Jeff Nordgaard,Forward,79,225,2,53,15.9,5.8,2,55.6,30.2,74.1,1.38,1.08,0.23,27.8,0,88.9,0
Jeff Teague,Guard,75,195,1,19,16.4,3,3,46.2,42.1,81.2,3.21,0.94,1.72,39.6,21.9,83.7,0
Jeff Trepagnier,Guard,76,200,2,35,10.6,5.2,1.4,47.1,29.8,65.9,1.5,1,1,30.4,0,57.1,0
Jeff Webster,Forward,80,232,2,40,17.8,6.2,0.5,52.3,25,77.8,1.64,0.64,0.27,34.8,33.3,0,0
Jeff Withey,Center,84,230,2,39,8,5.4,0.6,56.8,100,72.6,3.28,2.59,0.45,53.5,0,71.2,0
Jemerrio Jones,Forward,77,175,,,10.4,10.8,3.1,50.3,13.8,57.3,4.5,8.17,2.17,36.4,20,50,0
Jerald Honeycutt,Forward-Guard,81,254,2,38,17.7,7,3.4,42.1,30.8,67.2,6.45,2.45,0.87,40.7,37.7,62.1,0
Jerami Grant,Forward,79,210,2,39,7.5,4.7,0.9,48.6,30,64.1,6.32,3.05,1.22,35.2,31.4,59.1,0
Jerel McNeal,Guard,75,200,Undrafted,Undrafted,15.3,4.7,3.5,44,34.7,71.7,1.5,0.5,0.33,27.3,50,100,0
Jeremiah Martin,Guard,74,185,Undrafted,Undrafted,13.1,3.2,3.5,44.1,32.5,74.5,7.11,1.11,2,45.3,27.8,78.6,0
Jeremiah Robinson-Earl,Forward,80,240,2,32,12.8,9,2.1,47.8,30.1,76.8,7.47,5.59,1,41.4,35.2,74.1,0
Jeremy Evans,Forward,81,200,2,55,7.9,5.9,0.5,63.9,36.4,68.4,3.63,1.98,0.49,66.1,0,70.3,0
Jeremy Lamb,Guard-Forward,77,180,1,12,14.1,4.7,1.7,48.2,34.8,80.6,3.09,0.78,0.22,35.3,30,100,0
Jeremy Lin,Guard,75,200,Undrafted,Undrafted,12.9,4.3,3.5,48.1,33.3,73.3,2.62,1.17,1.45,38.9,20,76,0
Jeremy Pargo,Guard,74,219,0,0,9.3,3.4,4.4,46.5,31.1,70.4,2.86,0.84,1.25,33.3,26.3,59.3,0
Jeremy Sochan,Forward,80,230,1,9,9.2,6.4,1.8,47.4,29.6,58.9,10.96,5.27,2.54,45.3,24.6,69.8,0
Jerian Grant,Guard,76,198,1,19,14.6,2.9,5.8,43.6,34.5,79,5.61,1.88,2.33,39.4,22,78,0
Jericho Sims,Center,82,250,2,58,6.6,5.4,0.4,63.9,0,52.4,2.2,4.12,0.51,72.2,0,41.4,0
Jermaine Jackson,Guard,77,204,Undrafted,Undrafted,11.4,4.7,4.3,42.9,35.7,71,1,1.57,0.57,9.1,0,62.5,0
Jermaine Taylor,Guard,76,210,2,32,16.2,3.9,1.4,46.6,37.6,76.4,4.13,1.48,0.52,37.8,22.7,71.7,0
Jermareo Davidson,Forward,82,230,2,36,10.1,7.3,1,46.7,21.1,71.7,3.16,1.63,0.34,40.8,0,64.3,0
Jerome Allen,Guard,76,184,2,49,13.7,4.4,4.6,41.7,34.3,72.2,2.63,0.61,1.2,34.3,30.3,72.2,0
Jerome Dyson,Guard,75,180,Undrafted,Undrafted,14.4,3.9,2.9,39,31.8,73.5,7.44,2.11,2,39.6,12.5,77.8,0
Jerome Harmon,Guard,76,190,Undrafted,Undrafted,14.7,3.6,2,55.6,14.3,73.5,4.6,2.3,1.2,39.6,100,50,0
Jerome James,Center,85,285,2,36,16,9.2,0.7,49.5,0,52.7,1.5,1.06,0.06,37.5,0,50,0
Jerome Lane,Forward,78,230,1,23,13.1,10.4,2.2,52.5,26.7,62.8,4.83,3.7,1.11,42.6,0,38.4,0
Jerome Moiso,Forward,82,260,1,11,12,6.8,1.1,49.5,22.7,61.4,1.46,1.75,0.12,40,0,42.3,0
Jerome Robinson,Guard,77,190,1,13,8.4,3.2,1.8,44,37.5,74.1,3.39,1.24,0.58,40,31.6,66.7,0
Jerome Williams,Forward-Center,81,206,1,26,10.5,9.3,1.4,54.4,16.7,63.4,1.48,1.52,0.21,39.2,0,52.9,0
Jerrod Mustaf,Forward,82,238,1,17,16.6,7.7,1.5,52.5,38.9,75.6,4.32,2.73,0.58,46.5,0,64.4,0
Jerry Smith,Guard,74,190,2,12,8.7,3.1,1.7,45.4,38.9,73,1.4,1.4,0.8,21.4,16.7,0,0
Jerry Stackhouse,Forward,78,218,1,3,15.7,6.6,2.3,49.6,35.5,72,19.22,3.68,3.86,41.4,31.8,74.7,0
Jerryd Bayless,Guard,75,200,1,11,19.7,2.7,4,45.8,40.7,83.9,4.3,1.08,1.47,36.5,25.9,80.6,0
Jeryl Sasser,Guard,78,200,1,22,17,8.3,3.2,39.4,28,71,1.43,1,0.29,21.4,0,80,0
Jett Howard,Guard,78,215,1,11,14.2,2.8,2,41.4,36.8,80,1.61,0.39,0.33,33.3,28,50,0
Jevon Carter,Guard,73,200,2,32,12.2,3.7,3.9,40.7,35.5,79.8,4.41,1.69,1.77,30.3,33.3,81.3,0
Jim Farmer,Forward,76,190,1,20,10.8,3.5,1.7,47.3,38.7,78.5,2.03,0.6,0.53,37.7,0,90,0
Jim Grandholm,Center,84,235,4,76,9.4,6.6,1.7,48.6,31.3,73.9,3.04,1.92,0.31,51.7,52.9,47.6,0
Jim Jackson,Forward-Guard,78,220,1,4,19.2,5.9,4,50.3,37.6,78.4,16.32,4.36,4.68,39.5,28.8,73.9,0
Jimmer Fredette,Guard,74,195,1,10,18.7,2.6,3.7,45.5,39.4,88.2,7.57,1.2,1.77,38.6,36.1,83.3,0
Jimmy Butler,Forward,79,230,1,30,12,5.5,1.7,50.8,38.3,77.3,2.6,1.33,0.33,40.5,18.2,76.8,0
Jimmy King,Guard,77,210,2,35,11.9,4.1,2.7,47.7,35.1,67.6,4.5,1.77,1.42,43.1,14.7,70.1,0
Jimmy Oliver,Guard,77,205,2,39,10.7,3.1,2.5,46.5,40.6,75.1,3.56,1,0.74,39.8,11.1,77.3,0
Joakim Noah,Forward-Center,83,232,1,9,10.5,6.4,1.7,61.6,50,68.4,6.59,5.62,1.14,48.2,0,69.1,0
Jock Landale,Center,83,255,Undrafted,Undrafted,13.2,6.7,1.2,62.5,27.6,73.8,4.91,2.56,0.83,49.5,32.6,82.9,0
Jodie Meeks,Guard,76,210,2,41,15.4,3,1.6,43.6,38.6,89,4.12,1.76,0.54,36.2,28,85.7,0
Joe Alexander,Forward,80,230,1,8,12.1,4.8,2,44.7,29.5,76.5,4.71,1.95,0.71,41.6,34.8,69.9,0
Joe Arlauckas,Forward,81,230,4,74,14.4,7.3,1.6,50.7,25,64.4,3.78,1.44,0.89,32.6,0,75,0
Joe Chealey,Guard,76,190,,,14.2,3.5,3.1,40.4,34.7,80.5,2,0,1,33.3,0,0,0
Joe Courtney,Forward,80,235,Undrafted,Undrafted,5.3,3.6,0.6,46.2,0,68.5,2.2,0.4,0.2,44.4,0,75,0
Joe Crawford,Guard,77,210,2,58,11.3,3.4,1.5,43.8,35,70.2,4.5,2,0.5,30,25,100,0
Joe Crispin,Guard,72,185,Undrafted,Undrafted,15.6,2.9,3.8,38.2,34.8,88.5,1.67,0.17,0.33,25,0,80,0
